url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
https://www.olx.com.pk/item/hot-location-1-kanal-plot-for-sale-in-e1-block-valencia-town-lahore-iid-1117466192,Plot,For Sale,20 Marla,,,4 days ago,Rs 3.75 Crore,"Valencia Town, Lahore",Lahore,OLX
https://www.olx.com.pk/item/627-marla-plot-available-for-sale-in-canal-garden-near-bahria-town-lahore-iid-1117547829,Plot,For Sale,7 Marla,,,5 days ago,Rs 1.08 Crore,"Canal Garden - Block H, Lahore",Lahore,OLX
https://www.olx.com.pk/item/eithad-town-phase-2-block-c-iid-1118714614,Other,For Sale,5 Marla,,,2 days ago,Rs 65 Lacs,"Etihad Town Phase 1 - Block C, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-beautiful-house-for-sale-in-bb-block-sector-d-bahria-town-lahore-iid-1118407447,House,For Sale,5 Marla,3,4,1 week ago,Rs 2.10 Crore,"Bahria Town - Block BB, Lahore",Lahore,OLX
https://www.olx.com.pk/item/punjab-cooperative-employees-cooperative-housing-society-residential-plot-sized-10-marla-iid-1117692785,Residential Plot,For Sale,10 Marla,,,2 weeks ago,Rs 1.45 Crore,"Punjab Cooperative Employees Cooperative Housing Society, Lahore",Lahore,OLX
https://www.olx.com.pk/item/beautiful-house-for-sale-iid-1118489204,House,For Sale,3 Marla,4,4,1 week ago,Rs 1.55 Crore,"Jubilee Town - Block C, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-house-double-story-brand-new-house-registri-intaqal-han-madni-garden-society-main-ferozepur-road-kahna-stop-lahore-iid-1117778073,House,For Sale,5 Marla,5,5,2 days ago,Rs 85 Lacs,"Ferozepur Road, Lahore",Lahore,OLX
https://www.olx.com.pk/item/1-bedroom-luxury-apartment-for-sale-in-oyster-courtyard-gulberg-lahore-iid-1116760720,Room,For Sale,4 Marla,1,2,5 days ago,Rs 3.90 Crore,"Gulberg, Lahore",Lahore,OLX
https://www.olx.com.pk/item/12-marla-corner-luxury-house-for-salemain-80-ft-roadfacing-commercialowner-built-masterpiece-iid-1117686606,House,For Sale,12 Marla,5,6,3 weeks ago,Rs 3.80 Crore,"Bahria Orchard Phase 1, Lahore",Lahore,OLX
https://www.olx.com.pk/item/ready-to-move-1-bed-apartment-for-sale-prime-location-iid-1118788846,Apartment,For Sale,500 SQFT,1,1,1 hour ago,Rs 72 Lacs,"Bahria Town - Sector E, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-c-917-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788842,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 6.50 Crore,"DHA Phase 6 - Block C, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-plot-d-12402-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788839,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 2.20 Crore,"DHA Phase 6 - Block D, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-plot-e-1270-esidential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788836,Plot,For Sale,5 Marla,,,1 hour ago,Rs 1.20 Crore,"DHA Phase 6 - Block E, Lahore",Lahore,OLX
