id,url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
3503,https://www.zameen.com/Property/bahria_expressway_river_hills_2_bhk_luxury_furnished_for_rent_in_river_hills_bahria_town_phase_7_rawalpindi-54141616-11347-4.html,Other,For Rent,4.9 Marla,2,2.0,2 days ago,PKR 1.5 Lakh,"River Hills, Bahria Expressway",Rawalpindi,Zameen
3504,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_10_marla_house_for_rent-54619418-3048-4.html,House,For Rent,10 Marla,5,6.0,12 hours ago,PKR 1.5 Lakh,"Bahria Town Phase 8, Bahria Town Rawalpindi",Rawalpindi,Zameen
3505,https://www.zameen.com/Property/bahria_town_phase_8_bahria_greens_-_overseas_enclave_12_marla_beautiful_house_for_rent_in_overseas_block-54098758-3081-4.html,House,For Rent,12 Marla,3,4.0,12 hours ago,PKR 75 Thousand,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8",Rawalpindi,Zameen
3506,https://www.zameen.com/Property/rawalpindi_media_town_upper_portion_for_rent_in_media_town_rawalpindi-54672109-8157-4.html,Upper Portion,For Rent,12.4 Marla,3,3.0,13 hours ago,PKR 95 Thousand,"Media Town, Rawalpindi",Rawalpindi,Zameen
3507,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_2_1_kanal_full_house_available_for_rent_bahria_town_phase_2_5_bedroom_double_unit_house_near_to_market_near_to_masjid_near_to_park_beautiful_location-52263356-3035-4.html,Room,For Rent,1 Kanal,5,6.0,13 hours ago,PKR 2 Lakh,"Bahria Town Phase 2, Bahria Town Rawalpindi",Rawalpindi,Zameen
3508,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_3_12_marla_full_house_available_for_rent_bahria_town_phase_3_5_bedroom_double_unit_house_near_to_market_near_to_masjid_near_to_park_beautiful_location-52263362-3036-4.html,Room,For Rent,12 Marla,5,6.0,13 hours ago,PKR 1.2 Lakh,"Bahria Town Phase 3, Bahria Town Rawalpindi",Rawalpindi,Zameen
3509,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_3_1_kanal_full_furnished_house_available_for_rent_bahria_town_phase_2_6_bedroom_double_unit_house_near_to_market_near_to_masjid_near_to_park_beautiful_location-52264948-3036-4.html,Room,For Rent,1 Kanal,6,6.0,13 hours ago,PKR 4 Lakh,"Bahria Town Phase 3, Bahria Town Rawalpindi",Rawalpindi,Zameen
3510,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_3_kanal_new_house_available_for_rent_in_bahria_town_phase_3-52335814-3036-4.html,House,For Rent,1 Kanal,5,5.0,13 hours ago,PKR 2.5 Lakh,"Bahria Town Phase 3, Bahria Town Rawalpindi",Rawalpindi,Zameen
3511,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_4_10_marla_brand_you_upper_portion_available_for_rent_bahria_town_phase_4_ground_portion_lock-52516337-3041-4.html,Upper Portion,For Rent,10 Marla,3,4.0,13 hours ago,PKR 70 Thousand,"Bahria Town Phase 4, Bahria Town Rawalpindi",Rawalpindi,Zameen
3512,https://www.zameen.com/Property/bahria_town_rawalpindi_river_loft_2_bed_ultra_luxury_furnished_for_rent_in_river_loft_bahria_intellectual_village_bahria_town_phase_7_rawalpindi_islamabad-54253202-16870-4.html,Villa,For Rent,8.1 Marla,2,3.0,2 days ago,PKR 2 Lakh,"River Loft, Bahria Town Rawalpindi",Rawalpindi,Zameen
3513,https://www.zameen.com/Property/bahria_greens_overseas_enclave_bahria_greens_-_overseas_enclave_-_sector_2_14_marla_house_is_available_for_rent_in_bahria_green_lake_view_sector_2_rawalpindi-53423285-8301-4.html,House,For Rent,14 Marla,5,5.0,2 days ago,PKR 1.95 Lakh,"Bahria Greens - Overseas Enclave - Sector 2, Bahria Greens - Overseas Enclave",Rawalpindi,Zameen
3514,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_brand_new_2-bed_apartment_850_sq_ft_prime_location_in_spring_north_commercial-54690229-3047-4.html,Apartment,For Rent,3.8 Marla,2,2.0,11 hours ago,PKR 80 Thousand,"Bahria Town Phase 7, Bahria Town Rawalpindi",Rawalpindi,Zameen
3515,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_2_bed_rooms_luxury_furnished_penthouse_available_for_rent-52847005-3047-4.html,Penthouse,For Rent,8.9 Marla,2,3.0,15 hours ago,PKR 1.6 Lakh,"Bahria Town Phase 7, Bahria Town Rawalpindi",Rawalpindi,Zameen
3516,https://www.zameen.com/Property/chaklala_scheme_chaklala_scheme_3_full_house_for_rent_main_chaklala_scheme_3_rawalpindi-54561337-1312-4.html,House,For Rent,10 Marla,4,5.0,16 hours ago,PKR 1.6 Lakh,"Chaklala Scheme 3, Chaklala Scheme",Rawalpindi,Zameen
3517,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_4_1_bed_full_furnished_luxury_apartment_for_rent-52510773-3041-4.html,Apartment,For Rent,3.1 Marla,,,2 days ago,PKR 45 Thousand,"Bahria Town Phase 4, Bahria Town Rawalpindi",Rawalpindi,Zameen
3518,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_bahria_town_phase_8_1_bed_fully_furnished_flat_for_rent-54612620-3048-4.html,Flat,For Rent,2.4 Marla,1,1.0,7 hours ago,PKR 40 Thousand,"Bahria Town Phase 8, Bahria Town Rawalpindi",Rawalpindi,Zameen
3519,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_1_bahria_town_phase_1_2_bedroom_apartment_available_for_rent-54404442-3033-4.html,Room,For Rent,5 Marla,2,2.0,1 day ago,PKR 75 Thousand,"Bahria Town Phase 1, Bahria Town Rawalpindi",Rawalpindi,Zameen
3520,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_7_marla_house_in_bahria_town_phase_8_is_available-54679232-3048-4.html,House,For Rent,7 Marla,6,6.0,2 days ago,PKR 1.7 Lakh,"Bahria Town Phase 8, Bahria Town Rawalpindi",Rawalpindi,Zameen
3521,https://www.zameen.com/Property/adiala_road_snober_city_brand_new_water_boor_electric_available-54589338-11748-4.html,Other,For Rent,5 Marla,3,3.0,13 hours ago,PKR 45 Thousand,"Snober City, Adiala Road",Rawalpindi,Zameen
3522,https://www.zameen.com/Property/chaklala_scheme_chaklala_scheme_3_flat_available_for_rent_in_chaklala_scheme_3-50513770-1312-4.html,Flat,For Rent,5 Marla,2,2.0,6 hours ago,PKR 80 Thousand,"Chaklala Scheme 3, Chaklala Scheme",Rawalpindi,Zameen
3523,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_bahria_town_phase_8_dolphin_chowk_1_bed_luxury_furnished_flat_for_rent-54612556-3048-4.html,Flat,For Rent,2.4 Marla,1,1.0,7 hours ago,PKR 40 Thousand,"Bahria Town Phase 8, Bahria Town Rawalpindi",Rawalpindi,Zameen
3524,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_bahria_town_phase_8_1_bed_luxury_furnished_flat_for_rent-54569300-3048-4.html,Flat,For Rent,2.9 Marla,1,1.0,7 hours ago,PKR 55 Thousand,"Bahria Town Phase 8, Bahria Town Rawalpindi",Rawalpindi,Zameen
3525,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_heights_1_1_bed_fully_furnish_apartment_for_rent_in_bahria_heights_1-54385989-12199-4.html,Apartment,For Rent,3.6 Marla,1,2.0,1 day ago,PKR 1.15 Lakh,"Bahria Heights 1, Bahria Town Rawalpindi",Rawalpindi,Zameen
3526,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_intellectual_village_24_marla_independent_ground_portion_for_rent-54620717-8256-4.html,Other,For Rent,1.2 Kanal,3,4.0,2 days ago,PKR 1.95 Lakh,"Bahria Intellectual Village, Bahria Town Rawalpindi",Rawalpindi,Zameen
3527,https://www.zameen.com/Property/rawalpindi_gulzar-e-quaid_housing_society_upper_portion_for_rent_gulzar-e-quaid_3_bedrooms_a-54666224-540-4.html,Upper Portion,For Rent,10 Marla,3,3.0,13 hours ago,PKR 60 Thousand,"Gulzar-e-Quaid Housing Society, Rawalpindi",Rawalpindi,Zameen
3528,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_-_safari_villas_2_bedroom_flat_fully_furnished_available_for_rent-53164273-3078-4.html,Room,For Rent,5.3 Marla,2,2.0,15 hours ago,PKR 95 Thousand,"Bahria Town - Safari Villas, Bahria Town Rawalpindi",Rawalpindi,Zameen
